Sector,total_weight,avg_revenue_growth,avg_marketcap_bil,num_companies
Basic Materials,0.0155544016981185,0.019409090909090907,39.297863749818184,22
Communication Services,0.1404046631905961,0.05247619047619048,354.729383424,22
Consumer Cyclical,0.1146466838116763,0.06743636363636364,115.8609594181818,55
Consumer Defensive,0.058540670417364604,0.010297297297297298,87.9415833184865,37
Energy,0.0287621277808021,0.007727272727272729,72.66690166690908,22
Financial Services,0.1278848392079082,0.12295522388059701,106.09198418531344,67
Healthcare,0.0933824130328364,0.07709677419354839,83.71662572180645,62
Industrials,0.06772994549169166,0.045142857142857144,53.780024890514284,70
Real Estate,0.019457353666214,0.08126666666666665,34.88674026529033,31
Technology,0.3110152295870616,0.11582716049382716,210.81723656741465,82
Utilities,0.0226216721157051,0.04415625,39.29280544,32
